"Story","Title","Result","Date","Stability","Duration (s)"
"Feature to validate creating a new account","User is able to enter their own information and create a new account","SUCCESS","2021-02-21T21:40:50.454795-05:00[America/New_York]","0.0","57.57"
"Feature to validate creating a new account","Users should be able to login with their information","ERROR","2021-02-21T21:41:48.505096-05:00[America/New_York]","0.0","33.46"
